date,time,province,engine_size,accident_count,age_group,severity
4/7/2017,20:59:36,Surat-Thani, 126cc - 150cc,3.42%,15-19,Injury
5/6/2017,9:24:58,Surat-Thani, 156cc - 300cc,0.33%,15-19,Injury
7/9/2017,3:09:39,Surat-Thani, 400cc - 1000cc,0.16%,15-19,Injury
4/5/2017,1:46:20,Surat-Thani,less-than-110cc,21.99%,15-19,Injury
4/11/2017,23:45:36,Surat-Thani,more-than-1000cc,0.00%,15-19,Injury
6/7/2017,11:19:58,Chiang-Mai, 111cc - 125cc,57.58%,19-24,Dead
7/3/2017,4:05:07,Chiang-Mai, 126cc - 150cc,9.09%,19-24,Dead
1/7/2017,10:46:55,Chiang-Mai, 156cc - 300cc,0.00%,19-24,Dead
5/11/2017,22:31:03,Chiang-Mai, 400cc - 1000cc,0.00%,19-24,Dead
2/2/2017,15:01:17,Chiang-Mai,less-than-110cc,28.79%,19-24,Dead
12/9/2017,17:38:31,Bangkok, 111cc - 125cc,49.59%,19-24,Dead
24/04/2017,19:05:19,Bangkok, 126cc - 150cc,24.79%,19-24,Dead
21/08/2017,6:16:54,Bangkok, 156cc - 300cc,1.65%,19-24,Dead
23/07/2017,18:04:11,Bangkok, 400cc - 1000cc,1.65%,19-24,Dead
20/05/2017,15:26:13,Bangkok,less-than-110cc,16.53%,19-24,Dead
9/3/2017,0:02:22,Bangkok,more-than-1000cc,0.00%,19-24,Dead
2/5/2017,14:43:39,Kanchanaburi, 111cc - 125cc,68.42%,19-24,Dead
28/05/2017,7:25:45,Kanchanaburi, 126cc - 150cc,5.26%,19-24,Dead
12/5/2017,2:58:17,Kanchanaburi, 156cc - 300cc,0.00%,19-24,Dead
12/1/2017,21:03:20,Kanchanaburi, 400cc - 1000cc,0.00%,19-24,Dead
18/02/2017,10:09:44,Kanchanaburi,less-than-110cc,26.32%,19-24,Dead
16/01/2017,17:17:31,Chonburi, 111cc - 125cc,52.38%,19-24,Dead
27/03/2017,12:45:32,Chonburi, 126cc - 150cc,7.14%,19-24,Dead
17/03/2017,0:43:56,Chonburi, 156cc - 300cc,2.38%,19-24,Dead
16/08/2017,7:59:34,Chonburi, 400cc - 1000cc,8.33%,19-24,Dead
9/5/2017,6:04:29,Chonburi,less-than-110cc,19.05%,19-24,Dead
22/03/2017,13:13:01,Chonburi,more-than-1000cc,0.00%,19-24,Dead
30/04/2017,2:04:17,Nakhon-Ratchasima, 111cc - 125cc,58.90%,19-24,Dead
2/5/2017,20:17:16,Nakhon-Ratchasima, 126cc - 150cc,9.59%,19-24,Dead
12/2/2017,17:14:12,Nakhon-Ratchasima, 156cc - 300cc,0.00%,19-24,Dead
22/04/2017,14:27:59,Nakhon-Ratchasima, 400cc - 1000cc,0.00%,19-24,Dead
15/05/2017,1:04:45,Nakhon-Ratchasima,less-than-110cc,26.03%,19-24,Dead
2/12/2017,1:42:37,Nakhon-Ratchasima,more-than-1000cc,0.00%,19-24,Dead
21/06/2017,15:53:26,Surat-Thani, 111cc - 125cc,63.33%,19-24,Dead
15/06/2017,17:08:00,Surat-Thani, 126cc - 150cc,6.67%,19-24,Dead
27/08/2017,11:18:36,Surat-Thani, 156cc - 300cc,0.00%,19-24,Dead
10/6/2017,7:11:08,Surat-Thani, 400cc - 1000cc,3.33%,19-24,Dead
18/03/2017,16:31:23,Surat-Thani,less-than-110cc,10.00%,19-24,Dead
21/12/2017,6:18:51,Chiang-Mai, 111cc - 125cc,54.28%,19-24,Injury
16/10/2017,23:00:22,Chiang-Mai, 126cc - 150cc,7.74%,19-24,Injury
15/04/2017,4:19:55,Chiang-Mai, 156cc - 300cc,0.37%,19-24,Injury
29/09/2017,2:56:40,Chiang-Mai, 400cc - 1000cc,0.49%,19-24,Injury
10/10/2017,4:16:05,Chiang-Mai,less-than-110cc,30.63%,19-24,Injury
12/10/2017,11:32:42,Chiang-Mai,more-than-1000cc,0.00%,19-24,Injury
11/10/2017,20:47:37,Bangkok, 111cc - 125cc,58.45%,19-24,Injury
1/8/2017,19:51:22,Bangkok, 126cc - 150cc,17.49%,19-24,Injury
4/5/2017,17:38:54,Bangkok, 156cc - 300cc,1.40%,19-24,Injury
2/3/2017,23:36:32,Bangkok, 400cc - 1000cc,1.29%,19-24,Injury
1/12/2017,11:30:35,Bangkok,less-than-110cc,11.68%,19-24,Injury
19/04/2017,19:15:56,Bangkok,more-than-1000cc,0.04%,19-24,Injury
29/07/2017,10:26:49,Kanchanaburi, 111cc - 125cc,63.01%,19-24,Injury
1/11/2017,7:40:32,Kanchanaburi, 126cc - 150cc,5.80%,19-24,Injury
9/12/2017,14:32:08,Kanchanaburi, 156cc - 300cc,0.16%,19-24,Injury
20/08/2017,4:15:40,Kanchanaburi, 400cc - 1000cc,1.41%,19-24,Injury
16/10/2017,22:37:14,Kanchanaburi,less-than-110cc,27.27%,19-24,Injury
31/12/2017,5:40:17,Chonburi, 111cc - 125cc,56.68%,19-24,Injury
21/02/2017,17:00:59,Chonburi, 126cc - 150cc,9.72%,19-24,Injury
22/08/2017,13:33:55,Chonburi, 156cc - 300cc,1.02%,19-24,Injury
26/02/2017,17:18:19,Chonburi, 400cc - 1000cc,1.02%,19-24,Injury
27/11/2017,18:57:22,Chonburi,less-than-110cc,14.95%,19-24,Injury
27/11/2017,19:50:32,Chonburi,more-than-1000cc,0.00%,19-24,Injury
24/04/2017,17:50:08,Nakhon-Ratchasima, 111cc - 125cc,58.93%,19-24,Injury
27/10/2017,7:25:37,Nakhon-Ratchasima, 126cc - 150cc,6.53%,19-24,Injury
4/10/2017,13:51:09,Nakhon-Ratchasima, 156cc - 300cc,0.27%,19-24,Injury
17/11/2017,9:45:00,Nakhon-Ratchasima, 400cc - 1000cc,0.61%,19-24,Injury
22/08/2017,5:24:40,Nakhon-Ratchasima,less-than-110cc,27.18%,19-24,Injury
14/11/2017,0:39:06,Surat-Thani, 111cc - 125cc,67.86%,19-24,Injury
5/1/2017,20:37:57,Surat-Thani, 126cc - 150cc,3.74%,19-24,Injury
7/7/2017,23:37:01,Surat-Thani, 156cc - 300cc,0.78%,19-24,Injury
28/06/2017,0:11:27,Surat-Thani, 400cc - 1000cc,0.47%,19-24,Injury
9/5/2017,8:07:46,Surat-Thani,less-than-110cc,16.85%,19-24,Injury
5/10/2017,11:12:19,Surat-Thani,more-than-1000cc,0.16%,19-24,Injury
6/8/2017,20:27:06,Chiang-Mai, 111cc - 125cc,52.94%,25-35,Dead
10/10/2017,20:17:43,Chiang-Mai, 126cc - 150cc,4.41%,25-35,Dead
9/3/2017,23:57:39,Chiang-Mai, 156cc - 300cc,1.47%,25-35,Dead
12/3/2017,4:38:27,Chiang-Mai, 400cc - 1000cc,2.94%,25-35,Dead
5/3/2017,10:15:20,Chiang-Mai,less-than-110cc,32.35%,25-35,Dead
6/5/2017,10:22:09,Chiang-Mai,more-than-1000cc,0.00%,25-35,Dead
20/07/2017,22:07:31,Bangkok, 111cc - 125cc,56.64%,25-35,Dead
1/1/2017,14:04:32,Bangkok, 126cc - 150cc,18.88%,25-35,Dead
23/09/2017,12:16:42,Bangkok, 156cc - 300cc,0.70%,25-35,Dead
10/11/2017,11:57:05,Bangkok, 400cc - 1000cc,2.80%,25-35,Dead
1/10/2017,23:45:01,Bangkok,less-than-110cc,11.19%,25-35,Dead
3/1/2017,7:28:35,Bangkok,more-than-1000cc,0.00%,25-35,Dead
31/12/2017,19:55:36,Kanchanaburi, 111cc - 125cc,64.00%,25-35,Dead
29/07/2017,16:11:24,Kanchanaburi, 126cc - 150cc,12.00%,25-35,Dead
9/5/2017,10:33:57,Kanchanaburi, 156cc - 300cc,0.00%,25-35,Dead
10/7/2017,9:39:31,Kanchanaburi, 400cc - 1000cc,4.00%,25-35,Dead
17/04/2017,2:52:15,Kanchanaburi,less-than-110cc,20.00%,25-35,Dead
17/08/2017,23:20:54,Kanchanaburi,more-than-1000cc,0.00%,25-35,Dead
7/6/2017,21:52:33,Chonburi, 111cc - 125cc,58.72%,25-35,Dead
12/11/2017,0:47:55,Chonburi, 126cc - 150cc,8.26%,25-35,Dead
10/3/2017,3:35:59,Chonburi, 156cc - 300cc,0.00%,25-35,Dead
20/03/2017,23:21:49,Chonburi, 400cc - 1000cc,7.34%,25-35,Dead
30/10/2017,3:47:01,Chonburi,less-than-110cc,15.60%,25-35,Dead
7/12/2017,22:55:20,Chonburi,more-than-1000cc,0.00%,25-35,Dead
13/07/2017,0:40:43,Nakhon-Ratchasima, 111cc - 125cc,55.38%,25-35,Dead
15/09/2017,12:01:39,Nakhon-Ratchasima, 126cc - 150cc,9.23%,25-35,Dead
10/8/2017,5:10:37,Nakhon-Ratchasima, 156cc - 300cc,1.54%,25-35,Dead
11/5/2017,3:43:11,Nakhon-Ratchasima, 400cc - 1000cc,1.54%,25-35,Dead
16/07/2017,13:39:17,Nakhon-Ratchasima,less-than-110cc,26.15%,25-35,Dead
2/6/2017,2:16:41,Nakhon-Ratchasima,more-than-1000cc,0.00%,25-35,Dead
12/8/2017,20:05:28,Surat-Thani, 111cc - 125cc,44.44%,25-35,Dead
29/07/2017,13:03:51,Surat-Thani, 126cc - 150cc,16.67%,25-35,Dead
16/09/2017,12:47:31,Surat-Thani, 156cc - 300cc,0.00%,25-35,Dead
27/08/2017,8:19:51,Surat-Thani, 400cc - 1000cc,5.56%,25-35,Dead
12/12/2017,9:52:07,Surat-Thani,less-than-110cc,27.78%,25-35,Dead
26/05/2017,6:46:13,Surat-Thani,more-than-1000cc,5.56%,25-35,Dead
29/05/2017,22:06:15,Chiang-Mai, 111cc - 125cc,53.54%,25-35,Injury
19/12/2017,5:09:44,Chiang-Mai, 126cc - 150cc,5.85%,25-35,Injury
28/01/2017,7:56:17,Chiang-Mai, 156cc - 300cc,0.48%,25-35,Injury
12/12/2017,7:38:05,Chiang-Mai, 400cc - 1000cc,0.95%,25-35,Injury
25/04/2017,14:54:24,Chiang-Mai,less-than-110cc,32.28%,25-35,Injury
2/1/2017,1:57:58,Chiang-Mai,more-than-1000cc,0.08%,25-35,Injury
3/12/2017,14:18:26,Bangkok, 111cc - 125cc,57.46%,25-35,Injury
24/04/2017,10:21:02,Bangkok, 126cc - 150cc,13.25%,25-35,Injury
4/5/2017,1:09:37,Bangkok, 156cc - 300cc,1.18%,25-35,Injury
9/6/2017,19:02:13,Bangkok, 400cc - 1000cc,1.94%,25-35,Injury
22/12/2017,17:20:14,Bangkok,less-than-110cc,13.32%,25-35,Injury
30/11/2017,13:11:44,Bangkok,more-than-1000cc,0.11%,25-35,Injury
26/11/2017,7:07:08,Kanchanaburi, 111cc - 125cc,60.86%,25-35,Injury
15/08/2017,14:01:13,Kanchanaburi, 126cc - 150cc,5.64%,25-35,Injury
27/04/2017,3:32:12,Kanchanaburi, 156cc - 300cc,0.66%,25-35,Injury
16/06/2017,13:12:37,Kanchanaburi, 400cc - 1000cc,2.16%,25-35,Injury
28/12/2017,18:49:47,Kanchanaburi,less-than-110cc,27.86%,25-35,Injury
13/04/2017,21:40:15,Kanchanaburi,more-than-1000cc,0.33%,25-35,Injury
2/4/2017,5:42:33,Chonburi, 111cc - 125cc,56.28%,25-35,Injury
7/12/2017,12:29:44,Chonburi, 126cc - 150cc,7.44%,25-35,Injury
26/03/2017,8:38:27,Chonburi, 156cc - 300cc,0.84%,25-35,Injury
17/04/2017,20:08:58,Chonburi, 400cc - 1000cc,1.84%,25-35,Injury
15/05/2017,17:26:39,Chonburi,less-than-110cc,16.99%,25-35,Injury
27/07/2017,18:13:58,Chonburi,more-than-1000cc,0.03%,25-35,Injury
29/06/2017,22:06:36,Nakhon-Ratchasima, 111cc - 125cc,53.55%,25-35,Injury
7/12/2017,19:11:19,Nakhon-Ratchasima, 126cc - 150cc,5.29%,25-35,Injury
8/5/2017,0:11:36,Nakhon-Ratchasima, 156cc - 300cc,0.47%,25-35,Injury
13/05/2017,7:16:12,Nakhon-Ratchasima, 400cc - 1000cc,1.12%,25-35,Injury
11/3/2017,12:36:12,Nakhon-Ratchasima,less-than-110cc,32.33%,25-35,Injury
4/2/2017,3:28:36,Nakhon-Ratchasima,more-than-1000cc,0.00%,25-35,Injury
28/05/2017,21:53:23,Surat-Thani, 111cc - 125cc,60.19%,25-35,Injury
31/07/2017,16:38:15,Surat-Thani, 126cc - 150cc,5.79%,25-35,Injury
14/07/2017,9:07:22,Surat-Thani, 156cc - 300cc,0.14%,25-35,Injury
5/9/2017,0:36:14,Surat-Thani, 400cc - 1000cc,1.93%,25-35,Injury
2/4/2017,10:28:27,Surat-Thani,less-than-110cc,18.60%,25-35,Injury
18/04/2017,2:39:01,Surat-Thani,more-than-1000cc,0.14%,25-35,Injury
26/04/2017,19:07:37,Chiang-Mai, 111cc - 125cc,45.26%,36-60,Dead
14/10/2017,2:24:39,Chiang-Mai, 126cc - 150cc,1.05%,36-60,Dead
14/06/2017,10:22:37,Chiang-Mai, 156cc - 300cc,2.11%,36-60,Dead
25/01/2017,16:49:35,Chiang-Mai, 400cc - 1000cc,0.00%,36-60,Dead
5/11/2017,12:38:38,Chiang-Mai,less-than-110cc,45.26%,36-60,Dead
20/09/2017,3:19:32,Chiang-Mai,more-than-1000cc,0.00%,36-60,Dead
7/8/2017,16:37:42,Bangkok, 111cc - 125cc,46.56%,36-60,Dead
1/1/2017,9:07:05,Bangkok, 126cc - 150cc,12.70%,36-60,Dead
9/7/2017,15:33:43,Bangkok, 156cc - 300cc,0.00%,36-60,Dead
3/12/2017,17:17:44,Bangkok, 400cc - 1000cc,1.59%,36-60,Dead
30/12/2017,16:28:04,Bangkok,less-than-110cc,17.99%,36-60,Dead
30/01/2017,19:16:33,Bangkok,more-than-1000cc,0.00%,36-60,Dead
12/12/2017,9:45:41,Kanchanaburi, 111cc - 125cc,48.94%,36-60,Dead
28/03/2017,0:23:05,Kanchanaburi, 126cc - 150cc,0.00%,36-60,Dead
7/7/2017,20:10:01,Kanchanaburi, 156cc - 300cc,0.00%,36-60,Dead
14/10/2017,22:40:17,Kanchanaburi, 400cc - 1000cc,2.13%,36-60,Dead
3/5/2017,6:01:39,Kanchanaburi,less-than-110cc,46.81%,36-60,Dead
5/7/2017,19:48:42,Chonburi, 111cc - 125cc,54.21%,36-60,Dead
6/4/2017,20:02:38,Chonburi, 126cc - 150cc,4.67%,36-60,Dead
25/04/2017,19:13:33,Chonburi, 156cc - 300cc,1.87%,36-60,Dead
30/12/2017,0:10:15,Chonburi, 400cc - 1000cc,0.00%,36-60,Dead
3/5/2017,7:56:20,Chonburi,less-than-110cc,21.50%,36-60,Dead
15/12/2017,22:16:18,Chonburi,more-than-1000cc,0.00%,36-60,Dead
29/09/2017,22:01:24,Nakhon-Ratchasima, 111cc - 125cc,57.84%,36-60,Dead
24/10/2017,0:10:05,Nakhon-Ratchasima, 126cc - 150cc,3.92%,36-60,Dead
10/12/2017,17:27:34,Nakhon-Ratchasima, 156cc - 300cc,0.00%,36-60,Dead
25/11/2017,11:31:22,Nakhon-Ratchasima, 400cc - 1000cc,2.94%,36-60,Dead
24/04/2017,6:49:02,Nakhon-Ratchasima,less-than-110cc,28.43%,36-60,Dead
25/11/2017,21:49:17,Nakhon-Ratchasima,more-than-1000cc,0.00%,36-60,Dead
25/09/2017,9:57:08,Surat-Thani, 111cc - 125cc,52.78%,36-60,Dead
3/3/2017,3:23:36,Surat-Thani, 126cc - 150cc,5.56%,36-60,Dead
26/06/2017,5:46:09,Surat-Thani, 156cc - 300cc,2.78%,36-60,Dead
19/05/2017,2:59:31,Surat-Thani, 400cc - 1000cc,2.78%,36-60,Dead
24/02/2017,14:16:36,Surat-Thani,less-than-110cc,30.56%,36-60,Dead
30/01/2017,19:26:23,Chiang-Mai, 111cc - 125cc,51.13%,36-60,Injury
26/01/2017,17:11:40,Chiang-Mai, 126cc - 150cc,3.18%,36-60,Injury
21/03/2017,21:14:59,Chiang-Mai, 156cc - 300cc,0.25%,36-60,Injury
23/06/2017,11:44:17,Chiang-Mai, 400cc - 1000cc,0.60%,36-60,Injury
22/06/2017,1:01:45,Chiang-Mai,less-than-110cc,38.19%,36-60,Injury
16/07/2017,16:40:02,Chiang-Mai,more-than-1000cc,0.11%,36-60,Injury
19/12/2017,11:15:16,Bangkok, 111cc - 125cc,57.02%,36-60,Injury
20/07/2017,3:21:17,Bangkok, 126cc - 150cc,6.66%,36-60,Injury
29/04/2017,6:14:43,Bangkok, 156cc - 300cc,0.43%,36-60,Injury
18/02/2017,0:24:37,Bangkok, 400cc - 1000cc,0.50%,36-60,Injury
20/07/2017,1:26:31,Bangkok,less-than-110cc,18.37%,36-60,Injury
8/5/2017,8:19:50,Bangkok,more-than-1000cc,0.04%,36-60,Injury
7/11/2017,10:49:44,Kanchanaburi, 111cc - 125cc,47.45%,36-60,Injury
6/10/2017,0:29:05,Kanchanaburi, 126cc - 150cc,2.04%,36-60,Injury
30/04/2017,19:05:13,Kanchanaburi, 156cc - 300cc,0.00%,36-60,Injury
30/04/2017,20:17:47,Kanchanaburi, 400cc - 1000cc,0.94%,36-60,Injury
8/12/2017,3:00:54,Kanchanaburi,less-than-110cc,47.96%,36-60,Injury
24/04/2017,22:09:32,Kanchanaburi,more-than-1000cc,0.17%,36-60,Injury
16/09/2017,12:06:18,Chonburi, 111cc - 125cc,54.76%,36-60,Injury
23/11/2017,2:49:00,Chonburi, 126cc - 150cc,4.23%,36-60,Injury
28/03/2017,4:19:12,Chonburi, 156cc - 300cc,0.34%,36-60,Injury
23/03/2017,3:12:54,Chonburi, 400cc - 1000cc,0.75%,36-60,Injury
8/7/2017,2:30:00,Chonburi,less-than-110cc,25.45%,36-60,Injury
17/03/2017,23:41:14,Chonburi,more-than-1000cc,0.02%,36-60,Injury
10/4/2017,8:58:53,Nakhon-Ratchasima, 111cc - 125cc,52.47%,36-60,Injury
30/04/2017,5:07:26,Nakhon-Ratchasima, 126cc - 150cc,1.90%,36-60,Injury
29/05/2017,22:11:49,Nakhon-Ratchasima, 156cc - 300cc,0.16%,36-60,Injury
24/07/2017,3:14:30,Nakhon-Ratchasima, 400cc - 1000cc,0.34%,36-60,Injury
24/07/2017,15:23:47,Nakhon-Ratchasima,less-than-110cc,38.47%,36-60,Injury
